Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,68.1.49.102,US,Florida,SHALIMAR,2023-06-02 21:03:59
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,2600:8807:9043:a300:4d0f:87d6:fdf4:6d25,US,Florida,SHALIMAR,2023-05-31 03:15:59
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,2600:8807:9043:a300:b125:5699:bf51:f03f,US,Florida,SHALIMAR,2023-06-08 21:22:43
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,2600:8807:9043:a300:4c91:b49b:6ae0:d17a,US,Florida,SHALIMAR,2023-06-03 19:06:35
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,2600:8807:9043:a300:5da4:d32c:3180:4a22,US,Florida,SHALIMAR,2023-06-14 14:25:27
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,2600:8807:9043:a300:59ff:d794:e5e9:a460,US,Florida,SHALIMAR,2023-05-31 21:54:53
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,2600:8807:9043:a300:796d:34e2:1398:bf43,US,Florida,SHALIMAR,2023-06-02 21:03:52
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,2600:8807:9043:a300:8d1b:8a49:f408:4aab,US,Florida,SHALIMAR,2023-06-14 00:38:24
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-17461-54EA793F5BAC7F8ED8BFA870055284E7FF5C49C909FE7C4BD692273A806FDAA9,Amazon_AFTMM,Amazon_AFTMM,2600:8807:9043:a300:68b6:ba36:400e:9b7d,US,Florida,SHALIMAR,2023-06-02 01:00:23
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,174.203.43.241,US,Mississippi,GULFPORT,2023-06-22 18:19:44
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,2600:100d:b14b:a848:74fa:14f3:7829:8e69,US,Louisiana,GRAMERCY,2023-06-22 16:06:51
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,2600:100d:b163:ec79:e0fd:9f95:dcf6:51de,US,Florida,MILTON,2023-06-01 01:21:28
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,217.138.206.85,US,Nebraska,BELLEVUE,2023-06-18 20:23:17
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,2600:8807:9043:a300:3c96:2da7:78fd:9e79,US,Florida,SHALIMAR,2023-06-14 00:39:12
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,138.199.50.102,US,Florida,MIAMI,2023-06-09 00:21:24
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,2600:100d:b125:84c1:9423:cea6:666f:e5a0,US,Louisiana,BATON ROUGE,2023-06-03 06:34:39
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,2600:100d:b105:6660:5c49:7074:1167:69a2,US,Louisiana,BATON ROUGE,2023-06-22 16:33:08
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,98.186.192.30,US,Georgia,MACON,2023-06-14 17:57:16
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,174.203.69.48,US,Louisiana,LAFAYETTE,2023-06-14 18:01:39
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,2600:100d:b146:83b7:5129:9012:644b:118f,US,Texas,BEAUMONT,2023-06-14 12:06:53
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,50.123.133.186,US,South Carolina,MYRTLE BEACH,2023-06-16 19:06:33
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,98.186.193.1,US,Louisiana,NEW IBERIA,2023-06-02 18:07:17
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,2600:1004:b09a:f0a0:5570:d556:cccd:24c3,US,South Carolina,COLUMBIA,2023-06-15 17:55:27
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,2600:8807:9043:a300:58c6:2aba:e34:8484,US,Florida,SHALIMAR,2023-06-03 06:35:18
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,12.31.71.58,US,North Carolina,CHARLOTTE,2023-06-18 20:24:37
NFAPPL-02-IPHONE14=6-F78C51536E16E5981AFBA28A07FC81B321E53E39F0BDD00B88C14B253FF6E1B8,APPLE_iPhone14-6,APPLE_iPhone14-6,2600:8807:9043:a300:d460:a5a0:71de:14e5,US,Florida,SHALIMAR,2023-06-01 01:21:39
